City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Bambous Virieux,MU,-20.3428,57.7575,77.0,88,75,14.97,light rain
80,Kulhudhuffushi,MV,6.6221,73.07,83.57,72,18,4.16,few clouds
81,Lorengau,PG,-2.0226,147.2712,85.75,65,86,3.4,overcast clouds
82,Boguchany,RU,58.3814,97.4531,36.73,89,100,8.32,overcast clouds
83,Tuktoyaktuk,CA,69.4541,-133.0374,12.2,79,90,11.5,snow
84,Khatanga,RU,71.9667,102.5,13.82,92,100,14.7,light snow
85,Jamestown,US,42.097,-79.2353,35.01,75,40,10.36,scattered clouds
86,Kazachinskoye,RU,57.6953,93.2761,36.75,98,100,6.26,overcast clouds
87,Hamilton,US,39.1834,-84.5333,48.99,71,1,4.27,clear sky
88,Katsuura,JP,35.1333,140.3,60.01,38,20,11.5,few clouds
89,Tessalit,ML,20.1986,1.0114,86.36,8,3,7.94,clear sky
90,Ulladulla,AU,-35.35,150.4667,68.0,42,0,5.75,clear sky
91,Anchorage,US,61.2181,-149.9003,57.2,28,1,8.05,clear sky
92,Niono,ML,14.2526,-5.993,90.91,15,93,8.21,overcast clouds
93,Kurbnesh,AL,41.7797,20.0836,44.6,93,0,3.44,clear sky
94,Debre Zeyit,ET,8.75,38.9833,62.1,82,100,6.24,light rain
95,Tezu,IN,27.9167,96.1667,91.76,14,3,2.26,clear sky
96,Masumbwe,TZ,-3.6333,32.1833,63.86,97,100,0.47,light rain
97,Sangerhausen,DE,51.4667,11.3,32.0,65,35,1.68,scattered clouds
98,Butaritari,KI,3.0707,172.7902,83.1,73,18,11.81,few clouds
99,Souillac,MU,-20.5167,57.5167,77.0,88,75,14.97,light rain
100,Ecoporanga,BR,-18.3733,-40.8306,69.98,95,5,1.34,clear sky
101,Abalak,RU,58.1286,68.5944,41.68,69,100,5.57,overcast clouds
102,Rio Gallegos,AR,-51.6226,-69.2181,53.6,50,0,10.36,clear sky
103,Mar Del Plata,AR,-38.0023,-57.5575,61.0,94,0,4.61,clear sky
104,Upernavik,GL,72.7868,-56.1549,27.91,78,61,4.07,broken clouds
105,Beihai,CN,21.4833,109.1,78.22,86,100,15.61,light rain
106,Voznesenka,UA,46.8717,35.4646,42.33,62,98,3.65,overcast clouds
107,Sibu,MY,2.3,111.8167,86.0,74,40,4.61,scattered clouds
108,Carnarvon,AU,-24.8667,113.6333,86.0,23,0,8.05,clear sky
109,Ponta Delgada,PT,37.7333,-25.6667,57.2,88,75,9.22,broken clouds
110,Polunochnoye,RU,60.8697,60.4153,37.27,84,27,7.43,scattered clouds
111,Nantucket,US,41.2835,-70.0995,48.2,87,40,20.71,scattered clouds
112,Molde,NO,62.7375,7.1591,32.0,86,8,6.91,clear sky
113,Kaitangata,NZ,-46.2817,169.8464,48.99,74,100,11.01,light rain
114,Esperance,AU,-33.8667,121.9,80.6,26,0,14.97,clear sky
115,Sherghati,IN,24.5667,84.7833,80.6,26,20,3.44,haze
116,Richards Bay,ZA,-28.783,32.0377,64.26,92,4,4.25,clear sky
117,Caibarien,CU,22.5206,-79.4669,77.0,44,40,2.3,scattered clouds
118,Chokurdakh,RU,70.6333,147.9167,28.58,95,100,13.53,light snow
119,Aguilas,ES,37.4063,-1.5829,62.01,90,100,2.48,overcast clouds
120,Divnomorskoye,RU,44.5011,38.1353,49.33,90,100,7.4,overcast clouds
121,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.6,80,1,9.22,clear sky
122,Bandarbeyla,SO,9.4942,50.8122,81.59,73,100,6.2,overcast clouds
123,Santiago Del Estero,AR,-27.7951,-64.2615,61.61,65,0,7.14,clear sky
124,Balkhash,KZ,46.844,74.9804,46.4,29,0,13.42,clear sky
125,Wattegama,LK,6.7989,81.4808,77.0,100,20,1.59,few clouds
126,Rocha,UY,-34.4833,-54.3333,59.99,72,79,7.49,broken clouds
127,Lagoa,PT,39.05,-27.9833,59.16,84,100,10.94,overcast clouds
128,Jacqueville,CI,5.2052,-4.4146,80.6,94,20,4.61,few clouds
129,San Nicolas,PH,18.1725,120.5953,89.6,51,20,4.61,few clouds
130,Luderitz,NA,-26.6481,15.1594,61.09,91,92,3.22,overcast clouds
131,Vila Franca Do Campo,PT,37.7167,-25.4333,57.2,88,75,9.22,broken clouds
132,Mezen,RU,65.8522,44.24,40.73,92,100,5.26,overcast clouds
133,Lisburn,GB,54.5234,-6.0353,42.8,75,17,3.44,few clouds
134,San Patricio,US,28.017,-97.5169,77.0,78,75,17.27,broken clouds
135,Strezhevoy,RU,60.7333,77.5889,41.0,48,0,8.95,clear sky
136,Pochutla,MX,15.7432,-96.4661,82.99,73,96,3.0,overcast clouds
137,Balikpapan,ID,-1.2675,116.8289,84.22,66,63,4.68,broken clouds
138,Skjervoy,NO,70.0311,20.9714,33.85,91,100,15.41,light snow
139,Georgetown,MY,5.4112,100.3354,87.8,74,20,5.75,few clouds
140,Wadi Musa,JO,30.3222,35.4793,64.24,24,0,8.84,clear sky
141,Sungaipenuh,ID,-2.0833,101.3833,71.49,82,100,1.07,overcast clouds
142,Leningradskiy,RU,69.3833,178.4167,29.23,83,100,1.48,overcast clouds
143,Songea,TZ,-10.6833,35.65,66.2,94,40,1.52,scattered clouds
144,Ponta Do Sol,PT,32.6667,-17.1,59.0,85,52,3.0,broken clouds
145,Bredasdorp,ZA,-34.5322,20.0403,50.0,93,95,4.61,overcast clouds
146,Zabrani,RO,46.0667,21.55,45.0,87,10,5.75,clear sky
147,Saint George,US,37.1041,-113.5841,75.2,16,1,23.02,clear sky
148,Chuy,UY,-33.6971,-53.4616,59.95,79,38,8.7,scattered clouds
149,Slave Lake,CA,55.2834,-114.769,35.6,64,75,5.75,broken clouds
150,Nikolskoye,RU,59.7035,30.7861,37.99,93,90,11.18,light intensity drizzle
151,Mercedes,AR,-34.6515,-59.4307,59.0,82,100,1.99,overcast clouds
152,Christchurch,NZ,-43.5333,172.6333,63.0,27,0,12.66,clear sky
153,Quatre Cocos,MU,-20.2078,57.7625,77.0,88,75,14.97,light rain
154,Yellowknife,CA,62.456,-114.3525,9.0,78,90,12.66,light snow
155,Bluff,NZ,-46.6,168.3333,48.0,78,96,18.01,overcast clouds
156,Dikson,RU,73.5069,80.5464,17.53,93,100,16.28,light snow
157,Springdale,US,36.1867,-94.1288,66.2,48,1,9.22,clear sky
158,Pisco,PE,-13.7,-76.2167,64.4,88,40,2.3,scattered clouds
159,Muli,MV,2.9167,73.5667,82.89,70,93,5.44,overcast clouds
160,Boa Vista,BR,2.8197,-60.6733,80.6,83,75,2.3,broken clouds
161,Lyubytino,RU,58.8122,33.3922,34.72,96,100,9.57,snow
162,Charyshskoye,RU,51.3978,83.5598,43.07,56,91,3.02,overcast clouds
163,Mayna,RU,54.1135,47.6231,34.12,78,2,13.62,clear sky
164,Ribeira Grande,PT,38.5167,-28.7,59.0,77,20,9.22,few clouds
165,Hobart,AU,-42.8794,147.3294,64.4,48,20,17.27,few clouds
166,Port Augusta,AU,-32.5,137.7667,69.8,52,2,8.05,clear sky
167,Ostrovnoy,RU,68.0531,39.5131,31.68,98,100,22.77,snow
168,Pervomaysk,UA,48.0443,30.8507,44.33,69,100,11.72,overcast clouds
169,Fortuna,US,40.5982,-124.1573,52.0,81,90,9.22,overcast clouds
170,Hanna,CA,51.6334,-111.9018,43.0,46,99,5.01,overcast clouds
171,Sabang,ID,5.8933,95.3214,83.39,71,92,8.39,overcast clouds
172,Pimentel,PE,-6.8367,-79.9342,64.99,84,55,5.01,broken clouds
173,Zhongshu,CN,24.5167,103.7667,64.85,79,83,6.35,broken clouds
174,Mount Isa,AU,-20.7333,139.5,86.0,37,79,12.66,broken clouds
175,Luanda,AO,-8.8368,13.2343,80.6,89,40,5.75,scattered clouds
176,Palmeira Das Missoes,BR,-27.8994,-53.3136,56.61,83,68,6.93,broken clouds
177,Castro,BR,-24.7911,-50.0119,57.27,94,97,3.33,overcast clouds
178,Chandler,US,33.3062,-111.8412,87.01,3,99,3.0,overcast clouds
179,Adamas,GR,36.7333,24.4333,57.2,62,0,25.32,clear sky
180,Bereda,ES,43.2686,-7.5406,48.99,100,96,1.01,overcast clouds
181,Cape Canaveral,US,28.4058,-80.6048,73.99,88,1,8.05,clear sky
182,Kalaleh,IR,37.3807,55.4916,55.4,88,20,0.49,few clouds
183,Kenai,US,60.5544,-151.2583,55.4,35,1,8.05,clear sky
184,Abu Kamal,SY,34.4506,40.9171,79.29,27,99,9.93,overcast clouds
185,Arroyo,ES,41.6096,-4.7969,48.99,100,75,5.75,broken clouds
186,Antalaha,MG,-14.9003,50.2788,72.01,89,99,5.79,overcast clouds
187,Naze,JP,28.3667,129.4833,77.0,57,75,14.97,broken clouds
188,Puerto Ayora,EC,-0.7393,-90.3518,75.36,84,7,6.96,clear sky
189,Ascension,US,30.2169,-90.9001,66.0,82,1,3.38,clear sky
190,Ternate,ID,0.8,127.4,84.63,69,69,6.02,broken clouds
191,Cabo San Lucas,MX,22.8909,-109.9124,75.99,40,90,11.5,overcast clouds
192,Pasni,PK,25.2631,63.471,80.29,71,91,7.4,overcast clouds
193,Severo-Yeniseyskiy,RU,60.3725,93.0408,31.15,70,65,6.58,broken clouds
194,Arlit,NE,18.7369,7.3853,87.78,10,22,9.57,few clouds
195,Jalu,LY,29.0331,21.5482,61.29,57,0,10.09,clear sky
196,Jackson,US,42.4165,-122.8345,50.0,62,90,3.44,overcast clouds
197,Inirida,CO,3.8653,-67.9239,74.8,95,100,2.55,overcast clouds
198,Karratha,AU,-20.7377,116.8463,85.95,26,0,12.37,clear sky
199,Tres De Maio,BR,-27.7733,-54.24,54.0,92,0,6.06,clear sky
200,Provideniya,RU,64.3833,-173.3,41.0,60,0,4.47,clear sky
201,Hovd,MN,48.0056,91.6419,33.73,22,0,0.67,clear sky
202,Changji,CN,44.0167,87.3167,48.2,23,0,4.47,clear sky
203,Torbay,CA,47.6666,-52.7314,42.01,65,1,11.5,clear sky
204,Muzhi,RU,65.3667,64.6667,35.13,92,97,8.52,overcast clouds
205,Iqaluit,CA,63.7506,-68.5145,32.0,93,90,2.3,light snow
206,Langsa,ID,4.4683,97.9683,82.35,76,100,1.77,overcast clouds
207,Oktyabrskiy,RU,54.4815,53.471,37.0,72,0,13.89,clear sky
208,Aykhal,RU,66.0,111.5,8.11,91,100,30.69,light snow
209,Samarai,PG,-10.6167,150.6667,85.6,68,49,10.94,scattered clouds
210,Morant Bay,JM,17.8815,-76.4093,80.6,74,20,5.75,few clouds
211,Alofi,NU,-19.0595,-169.9187,84.2,74,94,6.91,overcast clouds
212,Chapais,CA,49.7834,-74.8492,24.8,93,90,13.8,light snow
213,Markova,UA,48.6758,24.4138,33.94,94,100,5.32,light snow
214,Kaili,ID,-3.4626,120.2147,77.61,68,90,4.18,overcast clouds
215,Nenjiang,CN,49.1833,125.2167,59.23,24,100,19.55,overcast clouds
216,Saint-Philippe,RE,-21.3585,55.7679,77.0,65,0,20.71,light rain
217,Laguna,US,38.421,-121.4238,60.8,55,1,10.36,clear sky
218,Gravdal,NO,68.1214,13.5031,36.88,63,98,7.56,overcast clouds
219,Tebingtinggi,ID,3.3285,99.1625,80.6,89,40,2.3,scattered clouds
220,Keti Bandar,PK,24.1447,67.4497,80.92,75,0,12.57,clear sky
221,Arraial Do Cabo,BR,-22.9661,-42.0278,74.23,85,64,9.44,broken clouds
222,Tura,IN,25.5198,90.2201,88.5,23,4,5.46,clear sky
223,Kahului,US,20.8947,-156.47,78.8,65,40,20.71,scattered clouds
224,Camden,US,39.7835,-74.9663,57.0,66,100,6.35,overcast clouds
225,Khandagayty,RU,50.7333,92.05,34.74,38,9,7.49,clear sky
226,Mareeba,AU,-17.0,145.4333,75.2,94,75,8.05,heavy intensity rain
227,Cabedelo,BR,-6.9811,-34.8339,77.0,88,20,4.61,few clouds
228,Padang,ID,-0.9492,100.3543,82.27,74,95,0.87,overcast clouds
229,Broome,US,42.2506,-75.833,42.01,70,20,16.11,few clouds
230,Ordynskoye,RU,54.3656,81.8994,45.91,53,100,7.92,overcast clouds
231,Dezhou,CN,37.4486,116.2925,60.12,22,100,5.1,light rain
232,Karlskoga,SE,59.3267,14.5239,30.2,64,0,4.61,clear sky
233,Rajanpur,PK,29.1035,70.325,87.24,16,0,2.8,clear sky
234,Aberystwyth,GB,52.4155,-4.0829,36.0,100,6,7.72,clear sky
235,Faanui,PF,-16.4833,-151.75,81.34,63,5,1.19,clear sky
236,Hasaki,JP,35.7333,140.8333,60.01,28,20,16.11,few clouds
237,Kupang,ID,-10.1667,123.5833,82.49,50,93,9.46,overcast clouds
238,Bethel,US,41.3712,-73.414,53.01,76,75,10.85,broken clouds
239,Norman Wells,CA,65.282,-126.8329,33.8,44,20,13.8,few clouds
240,San Ignacio,BZ,17.1561,-89.0714,87.8,55,40,6.91,scattered clouds
241,Talnakh,RU,69.4865,88.3972,6.73,88,97,7.65,overcast clouds
242,Sao Filipe,CV,14.8961,-24.4956,71.56,72,100,9.55,overcast clouds
243,Khanino,RU,54.211,36.6229,30.2,80,6,6.71,clear sky
244,Srednekolymsk,RU,67.45,153.6833,24.87,69,7,8.95,clear sky
245,Belawan,ID,3.7755,98.6832,80.6,89,40,2.3,scattered clouds
246,Murwillumbah,AU,-28.3167,153.4,73.99,56,75,8.05,broken clouds
247,Samfya,ZM,-11.3649,29.5565,64.71,84,58,7.09,broken clouds
248,Saint-Augustin,CA,51.226,-58.6502,37.6,78,28,5.48,scattered clouds
249,Flinders,AU,-34.5833,150.8552,73.99,53,0,3.0,clear sky
250,Port Elizabeth,ZA,-33.918,25.5701,57.2,88,0,4.43,clear sky
251,Cherskiy,RU,68.75,161.3,20.66,75,86,6.24,overcast clouds
252,Kavieng,PG,-2.5744,150.7967,83.68,67,91,2.53,overcast clouds
253,Maku,IR,39.2911,44.4521,58.95,52,61,4.45,broken clouds
254,Orcopampa,PE,-15.2661,-72.3417,44.58,73,7,1.45,clear sky
255,Narsaq,GL,60.9167,-46.05,50.0,32,75,32.21,broken clouds
256,Ixtapa,MX,20.7,-105.2,79.0,83,40,10.36,scattered clouds
257,Dryden,CA,49.7833,-92.7503,42.8,31,75,5.75,broken clouds
258,Clyde River,CA,70.4692,-68.5914,23.0,93,90,18.41,overcast clouds
259,Awjilah,LY,29.1081,21.2869,61.23,58,0,9.93,clear sky
