City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
79,Tura,IN,25.5198,90.2201,97.68,17,33,7.7,scattered clouds
80,Thompson,CA,55.7435,-97.8558,26.6,100,90,2.3,light snow
81,San Jose,US,37.3394,-121.895,51.8,76,40,6.91,scattered clouds
82,Norman Wells,CA,65.282,-126.8329,26.6,54,75,3.44,broken clouds
83,Qaanaaq,GL,77.484,-69.3632,28.4,62,10,9.82,clear sky
84,Saalfeld,DE,50.65,11.3667,33.01,77,50,2.46,scattered clouds
85,Cidreira,BR,-30.1811,-50.2056,62.51,68,53,12.48,broken clouds
86,Vung Tau,VN,10.346,107.0843,85.84,67,77,6.71,broken clouds
87,Ushuaia,AR,-54.8,-68.3,46.4,81,90,4.61,overcast clouds
88,Tripoli,LY,32.8752,13.1875,63.23,69,99,11.63,overcast clouds
89,Carnot,CF,4.9409,15.8665,69.64,91,80,0.78,broken clouds
90,Solomenskoye,RU,44.2167,44.3528,51.1,74,100,9.91,moderate rain
91,Amahai,ID,-3.3333,128.9167,85.17,60,8,5.82,clear sky
92,Aklavik,CA,68.2191,-135.0107,14.0,79,100,9.22,overcast clouds
93,Bonavista,CA,48.6499,-53.1147,41.0,75,15,5.75,few clouds
94,Hermanus,ZA,-34.4187,19.2345,60.01,89,1,5.01,clear sky
95,Katsuura,JP,35.1333,140.3,66.0,25,20,17.27,few clouds
96,Mackay,AU,-21.15,149.2,77.0,65,40,17.27,scattered clouds
97,Putina,PE,-15.4667,-69.4333,40.51,78,57,4.16,broken clouds
98,Ahipara,NZ,-35.1667,173.1667,61.65,69,28,7.54,scattered clouds
99,Port Hedland,AU,-20.3167,118.5667,87.8,27,0,11.5,clear sky
100,Biak,ID,-0.9131,122.8766,83.14,67,66,6.46,broken clouds
101,Chokurdakh,RU,70.6333,147.9167,30.92,98,100,10.0,light snow
102,Castro,BR,-24.7911,-50.0119,55.62,96,81,2.3,broken clouds
103,Sakakah,SA,29.9697,40.2064,78.8,22,0,11.5,clear sky
104,Pag,HR,44.445,15.0575,44.6,87,0,1.14,clear sky
