City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Georgetown,MY,2021-04-25 22:26:57,5.4112,100.3354,80.01,89,20,2.3
68,Golitsyno,RU,2021-04-25 22:29:58,55.6122,36.9833,37.99,60,0,15.66
69,Atasu,KZ,2021-04-25 22:29:59,48.6814,71.6433,44.15,70,74,2.19
70,San Cristobal,VE,2021-04-25 22:29:59,7.7669,-72.225,87.8,58,40,11.5
71,Hendersonville,US,2021-04-25 22:30:00,36.3048,-86.62,71.01,33,19,1.99
72,Xining,CN,2021-04-25 22:27:34,36.6167,101.7667,38.14,83,2,3.27
73,Coquimbo,CL,2021-04-25 22:30:00,-29.9533,-71.3436,59.0,82,0,10.36
74,Yarmouth,US,2021-04-25 22:30:01,41.7057,-70.2286,48.2,93,90,18.41
75,Balod,IN,2021-04-25 22:30:01,20.73,81.2047,80.35,21,10,2.48
76,Hilo,US,2021-04-25 22:29:43,19.7297,-155.09,75.99,83,90,3.44
77,East London,ZA,2021-04-25 22:27:52,-33.0153,27.9116,68.11,68,100,9.31
78,Puerto Ayora,EC,2021-04-25 22:30:03,-0.7393,-90.3518,82.4,69,20,16.11
79,Nikolskoye,RU,2021-04-25 22:30:04,59.7035,30.7861,37.99,93,90,8.95
80,Bengkulu,ID,2021-04-25 22:30:04,-3.8004,102.2655,75.16,89,70,4.29
81,Salta,AR,2021-04-25 22:30:05,-24.7859,-65.4117,61.0,77,75,4.61
82,Wahiawa,US,2021-04-25 22:30:06,21.5028,-158.0236,80.01,57,75,6.91
83,Suntar,RU,2021-04-25 22:30:06,62.1444,117.6319,33.33,98,100,5.21
84,Vao,NC,2021-04-25 22:30:08,-22.6667,167.4833,74.5,69,79,14.67
85,Avera,US,2021-04-25 22:30:08,33.194,-82.5271,75.2,50,40,6.91
86,Along,IN,2021-04-25 22:30:09,28.1667,94.7667,63.72,60,3,2.17
87,Ponta Do Sol,PT,2021-04-25 22:30:09,32.6667,-17.1,59.0,86,59,5.99
88,Parnamirim,BR,2021-04-25 22:29:01,-5.9156,-35.2628,80.6,78,20,9.22
89,Esperance,AU,2021-04-25 22:27:05,-33.8667,121.9,57.2,58,0,14.97
90,Lufilufi,WS,2021-04-25 22:30:10,-13.8745,-171.5986,89.6,70,20,11.5
91,Te Anau,NZ,2021-04-25 22:30:10,-45.4167,167.7167,46.51,93,100,7.87
92,Znamenskoye,RU,2021-04-25 22:30:11,57.1281,73.8282,40.03,63,96,8.79
93,Kavaratti,IN,2021-04-25 22:30:11,10.5669,72.642,83.71,72,2,7.18
94,Voyvozh,RU,2021-04-25 22:26:10,62.892,54.9635,39.52,87,96,8.99
95,Kapaa,US,2021-04-25 22:30:12,22.0752,-159.319,79.0,73,75,13.8
96,Gursahaiganj,IN,2021-04-25 22:30:12,27.1167,79.7167,79.0,13,0,8.08
97,Hinckley,GB,2021-04-25 22:29:29,52.5389,-1.3761,42.8,70,0,8.05
98,Manono,CD,2021-04-25 22:30:13,-7.3,27.4167,68.88,96,100,0.98
99,Victoria,HK,2021-04-25 22:30:12,22.2855,114.1577,73.99,83,100,1.01
100,Meulaboh,ID,2021-04-25 22:30:14,4.1363,96.1285,76.3,85,86,2.53
101,Tuktoyaktuk,CA,2021-04-25 22:27:09,69.4541,-133.0374,14.0,73,90,10.36
102,Geraldton,AU,2021-04-25 22:30:15,-28.7667,114.6,64.4,52,0,10.36
103,Aberdeen,GB,2021-04-25 22:27:56,57.1437,-2.0981,41.0,81,78,6.91
104,Cayenne,GF,2021-04-25 22:30:05,4.9333,-52.3333,81.0,83,20,4.61
105,Lovozero,RU,2021-04-25 22:30:15,68.005,35.0117,28.58,93,100,13.69
106,San Patricio,US,2021-04-25 22:28:01,28.017,-97.5169,82.0,61,20,16.11
107,Dillon,US,2021-04-25 22:30:16,34.4166,-79.3712,75.99,46,90,10.36
108,Tokur,RU,2021-04-25 22:30:16,53.1333,132.9,32.92,63,91,4.47
109,New Norfolk,AU,2021-04-25 22:26:54,-42.7826,147.0587,57.99,70,98,3.0
110,Mae Sai,TH,2021-04-25 22:30:08,20.4335,99.8762,71.6,100,40,18.41
111,Langham,CA,2021-04-25 22:30:17,52.3668,-106.9679,51.8,20,90,14.97
112,Port Alfred,ZA,2021-04-25 22:30:18,-33.5906,26.891,70.56,58,100,12.08
113,Poum,NC,2021-04-25 22:30:18,-20.2333,164.0167,77.43,74,68,21.21
114,Lagoa,PT,2021-04-25 22:30:19,39.05,-27.9833,59.16,83,99,12.19
115,Itapirapua,BR,2021-04-25 22:30:19,-15.8233,-50.6133,75.0,57,100,3.56
116,Tutoia,BR,2021-04-25 22:30:20,-2.7619,-42.2744,78.39,87,60,8.32
117,Dvinskoy,RU,2021-04-25 22:30:20,62.1535,45.1175,40.5,91,100,6.17
118,Qaqortoq,GL,2021-04-25 22:29:09,60.7167,-46.0333,50.0,32,90,14.97
119,Garowe,SO,2021-04-25 22:30:21,8.4054,48.4845,77.43,77,30,11.56
120,Price,US,2021-04-25 22:30:22,39.5994,-110.8107,69.8,13,20,23.02
121,Necochea,AR,2021-04-25 22:26:48,-38.5473,-58.7368,57.0,81,93,7.49
122,Bethel,US,2021-04-25 22:27:00,41.3712,-73.414,60.8,51,40,9.22
123,Port Elizabeth,ZA,2021-04-25 22:30:23,-33.918,25.5701,60.8,88,0,8.05
124,Bilibino,RU,2021-04-25 22:30:23,68.0546,166.4372,20.77,82,99,3.4
125,Lakes Entrance,AU,2021-04-25 22:30:24,-37.8811,147.981,52.0,87,17,1.01
126,Kahului,US,2021-04-25 22:30:25,20.8947,-156.47,80.6,61,40,23.02
127,Axim,GH,2021-04-25 22:30:26,4.8699,-2.2405,80.35,83,96,5.7
128,Celestun,MX,2021-04-25 22:30:26,20.8667,-90.4,82.74,66,37,12.71
129,Touros,BR,2021-04-25 22:30:27,-5.1989,-35.4608,78.8,83,40,6.91
130,Santa Fe,AR,2021-04-25 22:30:27,-31.6333,-60.7,62.01,60,0,5.86
131,Mount Gambier,AU,2021-04-25 22:30:28,-37.8333,140.7667,51.8,100,90,5.75
132,Boizenburg,DE,2021-04-25 22:30:29,53.3833,10.7167,41.0,56,0,4.61
133,Virginia Beach,US,2021-04-25 22:30:21,36.8529,-75.978,66.2,48,40,17.27
134,Upernavik,GL,2021-04-25 22:30:30,72.7868,-56.1549,34.34,77,34,5.41
135,Paita,PE,2021-04-25 22:30:30,-5.0892,-81.1144,71.74,77,42,16.98
136,Bulgan,MN,2021-04-25 22:30:31,48.8125,103.5347,29.7,74,97,13.49
137,Longyearbyen,SJ,2021-04-25 22:30:31,78.2186,15.6401,17.6,62,40,10.36
138,Pacific Grove,US,2021-04-25 22:30:31,36.6177,-121.9166,60.8,59,90,14.97
139,Yarada,IN,2021-04-25 22:30:32,17.65,83.2667,80.6,94,20,2.3
140,Castro,BR,2021-04-25 22:30:32,-24.7911,-50.0119,58.21,92,75,3.89
141,Kloulklubed,PW,2021-04-25 22:30:33,7.0419,134.2556,78.8,89,75,9.22
142,Volksrust,ZA,2021-04-25 22:30:34,-27.3654,29.8818,47.52,74,0,2.44
143,Barrow,US,2021-04-25 22:26:56,71.2906,-156.7887,21.2,86,1,18.41
144,Parfino,RU,2021-04-25 22:30:35,57.9731,31.6481,35.55,91,100,6.64
145,Balakhta,RU,2021-04-25 22:30:36,55.38,91.6,34.21,99,100,6.04
146,Waipawa,NZ,2021-04-25 22:30:37,-41.4122,175.5153,57.99,67,88,8.05
147,Thinadhoo,MV,2021-04-25 22:29:20,0.5333,72.9333,81.88,66,61,4.41
148,Mabaruma,GY,2021-04-25 22:30:38,8.2,-59.7833,75.07,85,94,5.03
149,Severo-Kurilsk,RU,2021-04-25 22:30:38,50.6789,156.125,32.5,98,100,12.19
150,Saint George,US,2021-04-25 22:30:12,37.1041,-113.5841,82.4,10,1,33.38
151,Changqing,CN,2021-04-25 22:30:39,36.5575,116.7272,54.0,88,100,3.36
152,Vardo,NO,2021-04-25 22:30:39,70.3705,31.1107,28.4,69,0,12.66
153,Sterling,US,2021-04-25 22:30:40,39.0062,-77.4286,63.0,48,75,16.11
154,Araure,VE,2021-04-25 22:30:40,9.5601,-69.2148,93.2,40,62,17.27
155,Nanortalik,GL,2021-04-25 22:30:41,60.1432,-45.2371,40.48,82,100,13.96
156,Teya,RU,2021-04-25 22:26:47,60.3778,92.6267,32.7,88,100,7.16
157,Grand Gaube,MU,2021-04-25 22:30:42,-20.0064,57.6608,75.99,85,100,5.99
158,Nouakchott,MR,2021-04-25 22:30:42,18.0858,-15.9785,66.2,82,0,16.11
